Version,Metric,Value,Usecase
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,287.6767381459829,GP01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,26.48476477091196,GP01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,24.089054113811486,GP01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,87.61714444207237,GP01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,40.50660923807549,GP01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,296.6619225145573,GP01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,27.60600160506638,GP01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,23.56054851502492,GP01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,91.78581228497714,GP01W
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,41.91797205507854,GP01W
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,199.8365357339672,HOK01
1-FC - M523_AU298+M609_AU328-8(Blue),CX,17.94232767796832,HOK01
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,29.251693314125294,HOK01
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,64.07096341704518,HOK01
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,28.4588479458578,HOK01
2-PreCS1 - M619_r2(Orange),Adjusted,182.0983707942695,HOK01
2-PreCS1 - M619_r2(Orange),CX,21.472638861401883,HOK01
2-PreCS1 - M619_r2(Orange),GFX,20.391801830807612,HOK01
2-PreCS1 - M619_r2(Orange),Total CPU,52.10637722361416,HOK01
2-PreCS1 - M619_r2(Orange),Total Memory,30.380364077217738,HOK01
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,180.35786241074,HOK01
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,21.472638861401883,HOK01
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,20.391801830807612,HOK01
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,52.10637722361416,HOK01
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,30.380364077217738,HOK01
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,179.03,HOK01
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,19.39,HOK01
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,19.66,HOK01
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,52.79,HOK01
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,33.06,HOK01
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,174.0582820175625,HOK01
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,18.175441261137287,HOK01
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,23.10106256711263,HOK01
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,54.21801197588367,HOK01
